security,strike,expiry,option_type,settlement_price,last_price,bid,ask,mid_price,volume,open_interest,implied_vol,delta,gamma,theta,vega
NVDA US 11/21/25 C155 Equity,155.0,2025-11-21,CALL,,44.95,44.95,45.6,45.275000000000006,80.0,10287,59.31877,0.950062,0.006407,-0.058415,0.054843
NVDA US 11/21/25 C157.5 Equity,157.5,2025-11-21,CALL,,40.05,42.55,43.5,43.025,2.0,48,58.75555,0.967706,0.005414,-0.040391,0.038578
NVDA US 11/21/25 C160 Equity,160.0,2025-11-21,CALL,,40.8,40.3,40.85,40.575,224.0,13287,57.81369,0.926725,0.008586,-0.081657,0.074173
NVDA US 11/21/25 C162.5 Equity,162.5,2025-11-21,CALL,,33.48,37.85,38.6,38.225,32.0,56,55.38953,0.944259,0.008296,-0.061195,0.059961
NVDA US 11/21/25 C165 Equity,165.0,2025-11-21,CALL,,35.95,35.75,36.35,36.05,342.0,79944,56.28337,0.911099,0.010759,-0.094772,0.085751
NVDA US 11/21/25 C167.5 Equity,167.5,2025-11-21,CALL,,32.7,33.35,34.1,33.725,68.0,484,55.80225,0.910174,0.011713,-0.08846,0.086484
NVDA US 11/21/25 C170 Equity,170.0,2025-11-21,CALL,,31.46,31.45,31.7,31.575,1384.0,75751,54.68887,0.880493,0.013674,-0.11384,0.106354
NVDA US 11/21/25 C172.5 Equity,172.5,2025-11-21,CALL,,28.0,29.25,29.5,29.375,48.0,528,53.90464,0.865978,0.015276,-0.119317,0.115205
NVDA US 11/21/25 C175 Equity,175.0,2025-11-21,CALL,,27.05,27.15,27.4,27.275,1034.0,25855,53.561,0.841454,0.016964,-0.13437,0.129008
NVDA US 11/21/25 C177.5 Equity,177.5,2025-11-21,CALL,,24.35,25.1,25.35,25.225,166.0,1227,52.63999,0.821871,0.018819,-0.140494,0.139029
NVDA US 11/21/25 C180 Equity,180.0,2025-11-21,CALL,,23.17,23.2,23.3,23.25,15633.0,142196,52.34078,0.792105,0.020425,-0.156134,0.152816
NVDA US 11/21/25 C182.5 Equity,182.5,2025-11-21,CALL,,21.27,21.3,21.4,21.35,375.0,4305,51.73613,0.764725,0.022221,-0.165117,0.163982
NVDA US 11/21/25 C185 Equity,185.0,2025-11-21,CALL,,19.5,19.45,19.55,19.5,8054.0,49007,51.61188,0.73286,0.023678,-0.177085,0.17538
NVDA US 11/21/25 C187.5 Equity,187.5,2025-11-21,CALL,,17.75,17.75,17.85,17.8,2763.0,3176,51.06126,0.702318,0.02532,-0.183631,0.184777
NVDA US 11/21/25 C190 Equity,190.0,2025-11-21,CALL,,16.2,16.1,16.2,16.15,8689.0,57888,50.94275,0.668308,0.026492,-0.192418,0.193564
NVDA US 11/21/25 C192.5 Equity,192.5,2025-11-21,CALL,,14.6,14.55,14.7,14.625,2470.0,3471,50.82555,0.632406,0.027665,-0.19837,0.200888
NVDA US 11/21/25 C195 Equity,195.0,2025-11-21,CALL,,13.15,13.15,13.25,13.2,16741.0,33376,50.54773,0.596469,0.028578,-0.202669,0.206466
NVDA US 11/21/25 C197.5 Equity,197.5,2025-11-21,CALL,,11.8,11.8,11.9,11.850000000000001,2474.0,1849,50.35414,0.559795,0.029235,-0.205368,0.210331
NVDA US 11/21/25 C200 Equity,200.0,2025-11-21,CALL,,10.59,10.55,10.65,10.600000000000001,38925.0,103222,50.45537,0.52286,0.029537,-0.207037,0.212376
NVDA US 11/21/25 C202.5 Equity,202.5,2025-11-21,CALL,,9.4,9.4,9.5,9.45,9359.0,2726,50.31216,0.486073,0.029758,-0.205921,0.212627
NVDA US 11/21/25 C105 Equity,105.0,2025-11-21,CALL,,91.0,93.95,95.4,94.67500000000001,1.0,6839,105.394,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C110 Equity,110.0,2025-11-21,CALL,,83.42,88.95,90.4,89.67500000000001,3.0,3506,99.43223,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C115 Equity,115.0,2025-11-21,CALL,,83.48,84.0,85.15,84.575,15.0,3369,80.97355,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C120 Equity,120.0,2025-11-21,CALL,,78.0,79.05,80.0,79.525,29.0,6744,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C125 Equity,125.0,2025-11-21,CALL,,74.39,74.1,75.0,74.55,25.0,4169,,0.986545,0.001553,-0.021571,0.018356
NVDA US 11/21/25 C130 Equity,130.0,2025-11-21,CALL,,69.67,69.25,70.35,69.8,833.0,8375,77.92843,0.989034,0.001476,-0.014457,0.015399
NVDA US 11/21/25 C135 Equity,135.0,2025-11-21,CALL,,64.71,64.4,65.35,64.875,12.0,7573,75.45606,0.985812,0.001935,-0.019074,0.019245
NVDA US 11/21/25 C140 Equity,140.0,2025-11-21,CALL,,58.58,59.65,60.4,60.025,53.0,12015,72.94145,0.998001,0.000502,-0.008896,0.00338
NVDA US 11/21/25 C145 Equity,145.0,2025-11-21,CALL,,54.05,54.7,55.45,55.075,112.0,12260,67.08153,0.996587,0.000848,-0.010021,0.00548
NVDA US 11/21/25 C150 Equity,150.0,2025-11-21,CALL,,50.01,49.75,50.6,50.175,315.0,20772,61.94983,0.958815,0.005105,-0.05295,0.047007
NVDA US 11/21/25 C5 Equity,5.0,2025-11-21,CALL,,188.55,192.75,195.05,193.9,23.0,601,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C10 Equity,10.0,2025-11-21,CALL,,183.3,188.55,189.85,189.2,79.0,58,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C15 Equity,15.0,2025-11-21,CALL,,,183.7,185.45,184.575,0.0,30,435.4798,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C20 Equity,20.0,2025-11-21,CALL,,173.75,178.45,180.15,179.3,10.0,46,394.3942,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C25 Equity,25.0,2025-11-21,CALL,,168.0,172.8,175.4,174.10000000000002,6.0,218,377.5675,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C30 Equity,30.0,2025-11-21,CALL,,163.33,168.95,169.85,169.39999999999998,83.0,100,273.4001,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C35 Equity,35.0,2025-11-21,CALL,,152.47,164.05,165.15,164.60000000000002,85.0,472,301.1489,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C40 Equity,40.0,2025-11-21,CALL,,151.27,159.0,160.4,159.7,5.0,40,274.6519,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C45 Equity,45.0,2025-11-21,CALL,,137.51,154.15,155.05,154.60000000000002,23.0,66,252.2248,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C50 Equity,50.0,2025-11-21,CALL,,149.75,148.8,150.35,149.575,7.0,187,230.3878,0.980624,0.000564,-0.134007,0.024986
NVDA US 11/21/25 C55 Equity,55.0,2025-11-21,CALL,,127.84,142.9,145.1,144.0,40.0,83,174.0443,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C60 Equity,60.0,2025-11-21,CALL,,135.78,138.7,140.05,139.375,5.0,3788,127.8371,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C65 Equity,65.0,2025-11-21,CALL,,120.79,132.95,135.2,134.075,4.0,128,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C70 Equity,70.0,2025-11-21,CALL,,112.5,127.95,130.55,129.25,5.0,651,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C75 Equity,75.0,2025-11-21,CALL,,119.2,123.0,125.7,124.35,1.0,331,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C80 Equity,80.0,2025-11-21,CALL,,115.29,118.8,120.2,119.5,2.0,4855,126.1615,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C85 Equity,85.0,2025-11-21,CALL,,108.56,113.05,115.25,114.15,1.0,1288,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C90 Equity,90.0,2025-11-21,CALL,,100.66,108.05,110.25,109.15,1.0,1302,,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C95 Equity,95.0,2025-11-21,CALL,,103.4,103.9,105.35,104.625,13.0,2214,120.5644,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C100 Equity,100.0,2025-11-21,CALL,,95.55,99.15,100.0,99.575,3.0,3952,102.3722,1.0,0.0,0.0,0.0
NVDA US 11/21/25 C205 Equity,205.0,2025-11-21,CALL,,8.35,8.35,8.45,8.399999999999999,7344.0,8391,50.1847,0.450558,0.029398,-0.20548,0.211143
NVDA US 11/21/25 C210 Equity,210.0,2025-11-21,CALL,,6.55,6.55,6.6,6.574999999999999,18114.0,68616,50.11429,0.379269,0.028373,-0.196457,0.202894
NVDA US 11/21/25 C215 Equity,215.0,2025-11-21,CALL,,5.05,5.05,5.1,5.074999999999999,6366.0,11451,50.1248,0.31442,0.026512,-0.182648,0.189276
NVDA US 11/21/25 C220 Equity,220.0,2025-11-21,CALL,,3.88,3.85,3.9,3.875,30447.0,37962,50.11719,0.256109,0.024002,-0.165472,0.171578
NVDA US 11/21/25 C225 Equity,225.0,2025-11-21,CALL,,2.9,2.92,2.95,2.935,6259.0,2333,50.21118,0.206048,0.021259,-0.146169,0.151993
NVDA US 11/21/25 C230 Equity,230.0,2025-11-21,CALL,,2.2,2.19,2.22,2.205,7313.0,18278,50.48604,0.164054,0.018321,-0.12732,0.131872
NVDA US 11/21/25 C240 Equity,240.0,2025-11-21,CALL,,1.24,1.22,1.25,1.2349999999999999,4206.0,13759,51.06593,0.101321,0.012949,-0.09183,0.094478
NVDA US 11/21/25 C250 Equity,250.0,2025-11-21,CALL,,0.71,0.69,0.71,0.7,6620.0,24453,52.09144,0.062165,0.008784,-0.064219,0.065337
NVDA US 11/21/25 C260 Equity,260.0,2025-11-21,CALL,,0.42,0.4,0.43,0.41500000000000004,4740.0,10490,53.54483,0.038512,0.00582,-0.044722,0.044536
NVDA US 11/21/25 C270 Equity,270.0,2025-11-21,CALL,,0.27,0.25,0.26,0.255,360.0,6370,55.0196,0.024622,0.003906,-0.031558,0.030771
NVDA US 11/21/25 P95 Equity,95.0,2025-11-21,PUT,,0.05,0.05,0.07,0.060000000000000005,176.0,12788,107.1674,-0.002779,0.000319,-0.008321,0.004508
NVDA US 11/21/25 P100 Equity,100.0,2025-11-21,PUT,,0.07,0.06,0.08,0.07,317.0,23757,102.0158,-0.003994,0.000457,-0.010988,0.006191
NVDA US 11/21/25 P105 Equity,105.0,2025-11-21,PUT,,0.09,0.08,0.1,0.09,1847.0,19155,98.16458,-0.005005,0.000561,-0.013636,0.00772
NVDA US 11/21/25 P110 Equity,110.0,2025-11-21,PUT,,0.1,0.09,0.1,0.095,136.0,17118,92.22609,-0.005967,0.000704,-0.014703,0.008937
NVDA US 11/21/25 P115 Equity,115.0,2025-11-21,PUT,,0.11,0.11,0.13,0.12,237.0,18958,88.46575,-0.006827,0.000836,-0.015814,0.010107
NVDA US 11/21/25 P120 Equity,120.0,2025-11-21,PUT,,0.14,0.14,0.15,0.14500000000000002,126.0,28073,84.36974,-0.008626,0.001064,-0.019202,0.012518
NVDA US 11/21/25 P125 Equity,125.0,2025-11-21,PUT,,0.17,0.15,0.17,0.16,292.0,32328,79.29373,-0.010662,0.001341,-0.022299,0.015099
